USA,Rob Reiner,Adventure,Stand by Me,R,89,8.1,Wil Wheaton,Stephen King,1986
USA,John Hughes,Comedy,Ferris Bueller's Day Off,PG-13,103,7.8,Matthew Broderick,John Hughes,1986
USA,Tony Scott,Action,Top Gun,PG,110,6.9,Tom Cruise,Jim Cash,1986
USA,James Cameron,Action,Aliens,R,137,8.4,Sigourney Weaver,James Cameron,1986
USA,Randal Kleiser,Adventure,Flight of the Navigator,PG,90,6.9,Joey Cramer,Mark H. Baker,1986
UK,Oliver Stone,Drama,Platoon,R,120,8.1,Charlie Sheen,Oliver Stone,1986
UK,Jim Henson,Adventure,Labyrinth,PG,101,7.4,David Bowie,Dennis Lee,1986
USA,David Lynch,Drama,Blue Velvet,R,120,7.8,Isabella Rossellini,David Lynch,1986
USA,Howard Deutch,Comedy,Pretty in Pink,PG-13,96,6.8,Molly Ringwald,John Hughes,1986
USA,David Cronenberg,Drama,The Fly,R,96,7.5,Jeff Goldblum,George Langelaan,1986
Australia,Peter Faiman,Adventure,Crocodile Dundee,PG-13,97,6.5,Paul Hogan,Ken Shadie,1986
UK,Russell Mulcahy,Action,Highlander,R,116,7.2,Christopher Lambert,Gregory Widen,1986
USA,David Seltzer,Comedy,Lucas,PG-13,100,6.8,Corey Haim,David Seltzer,1986
USA,John Carpenter,Action,Big Trouble in Little China,PG-13,99,7.3,Kurt Russell,Gary Goldman,1986
USA,Michael Mann,Crime,Manhunter,R,120,7.2,William Petersen,Thomas Harris,1986
USA,Stephen King,Action,Maximum Overdrive,R,98,5.4,Emilio Estevez,Stephen King,1986
USA,Frank Oz,Comedy,Little Shop of Horrors,PG-13,94,6.9,Rick Moranis,Howard Ashman,1986
USA,Mike Marvin,Action,The Wraith,PG-13,93,5.9,Charlie Sheen,Mike Marvin,1986
USA,Willard Huyck,Action,Howard the Duck,PG,110,4.6,Lea Thompson,Steve Gerber,1986
USA,Stephen Herek,Action,Critters,PG-13,82,6,Dee Wallace,Domonic Muir,1986
USA,Alan Metter,Comedy,Back to School,PG-13,96,6.6,Rodney Dangerfield,Rodney Dangerfield,1986
USA,Tobe Hooper,Comedy,The Texas Chainsaw Massacre 2,UNRATED,89,5.6,Dennis Hopper,L.M. Kit Carson,1986
USA,Clint Eastwood,Action,Heartbreak Ridge,R,130,6.8,Clint Eastwood,James Carabatsos,1986
USA,Leonard Nimoy,Adventure,Star Trek IV The Voyage Home,PG,119,7.3,William Shatner,Gene Roddenberry,1986
USA,John Badham,Comedy,Short Circuit,PG,98,6.6,Ally Sheedy,S.S. Wilson,1986
Italy,Jean-Jacques Annaud,Crime,The Name of the Rose,R,130,7.8,Sean Connery,Umberto Eco,1986
USA,Sidney J. Furie,Action,Iron Eagle,PG-13,117,5.3,Louis Gossett Jr.,Kevin Alyn Elders,1986
